tweet	sarcastic
Before sex , you help each other get naked . After sex , you only dress yourself . Moral of the story : No one helps you once you're fucked . #sarcasm	1
I'm already gonna be late so I might as well just sleep for another half hour #sarcasm	1
i may act like i'm sassy but if you're mean to me there is a 900% chance i'll cry #sarcasm	1
@rickygervais Not me . I think this tweet was all right . No problem with it . #sarcasm	1
"Cancer or not , for her crimes if convicted , she must spend the rest of her life in Jail . "" "" wow #sarcasm"	1
"I bet when Cheetahs race and one of them cheats , the other one goes "" Man , you're such a Cheetah ! "" and they laugh & eat a zebra or whatever . #sarcasm"	1
@Lynnlunscarlet No me neither #not tasty xx #sarcasm	1
at a bus stop with 6 grade nines ... #thrilled #sarcasm	1
RT im naturally funny cause my whole life is a joke #sarcasm	1
RT Sometimes I Think I Should Not Give Up , Even Uday Chopra Is Working in Few Movies ! #sarcasm	1
Oooh man I am so fine .. I have electricity ! Not just that I have internet ! Thats how lucky I am right now #sarcastic #sarcasm	1
It's impossible for my room to stay clean for more than 24 hours #sarcasm	1
Oh ok so I bought WiFi and my Netflix still won't work with it that's cool #not #sarcasm	1
@sophie__smith8 @mckennashaffer @kayla_lemons I'm glad your parents won't let you leave school early , it brings me joy #sarcasm	1
imagine going to put flowers on ur granny's grave and finding a goth pure dry humping the headstone n taking photos #sarcasm	1
RT Cocaine is God's way of telling you you are making too much money . #sarcasm	1
"*finds out crush isn't at school today* "" Damn , wasted outfit "" #sarcasm"	1
next semester is going to be so amazing because I have every class with Kelsey 😭 I cannot wait any longer #sarcasm	1
I love that thing you do when you read my text and don't reply .. #not #sarcasm	1
When teachers give you homework on the first day #sarcasm	1
@aerityb being very studious finally #not #sarcasm	1
"You are cordially invited to see a mediocre band that some dude who's kind of your friend plays in . "" - Facebook #sarcasm"	1
"My head just exploded , @billclinton agrees with his wife , what a great first "" Mr . President "" lady he'll make . #FeelTheBern #tytlive #sarcasm"	1
I ❤️ Union County High school's dress code 😍 😊 #sarcastictweet #sarcasm	1
I ❤️ being ignored #not 😅 #sarcasm	1
they may look different , but they're the same ... it's all me , damn ! I'm still cute #cockiestmanalive #not #sarcasm	1
Not even mad I dropped $256 preordering the iPhone 6 to have it Friday morning at 9 am ... Hard last week in iPhone 4 gang #not #sarcasm	1
Whoever invented self checkout greatly overestimated the general intelligence of the human race . #sarcasm	1
